Address,Year Build,GLA,# of rooms,# of bath,Closing Date,Sale Price
"155  uncursing  rd.,  phoenix,  az",2014,1638,4,1,04/10/2021,335200
"17 objection st., atlanta, ga",1953,1955,4.5,2,15/09/2021,361200
"65 fire-gilt st., phoenix, az",1985,1923,4.5,2,17/10/2021,365600
"83 clothespins ave., phoenix, az",1987,1657,4,2,18/10/2021,327600
"65 news report ave., phoenix, az",2008,1640,4,2,13/10/2021,300200
"60 cudgeling st., phoenix, az",1974,1683,4,2,04/08/2021,357800
"40 boodle st., atlanta, ga",1960,1419,3.5,1,15/08/2021,235400
"169 compatibly rd., phoenix, az",1961,1887,4.5,1,01/08/2021,351500
"152 peopler st., atlanta, ga",1985,1969,4.5,2,05/09/2021,340000
"175 interpolating st., atlanta, ga",1984,1810,4.5,2,01/10/2021,350900
"36  wholly  st.,  atlanta,  ga",1954,1737,4,1,16/09/2021,359500
"30 oxheart st., phoenix, az",1978,1837,4.5,1,25/10/2021,359100
"129 glutaminases st., las vegas, nv",1958,1515,3.5,2,13/11/2021,256400
"171 intranasally st., atlanta, ga",2015,1598,3.5,1,03/08/2021,269600
"168 nidwalden st., phoenix, az",1973,1608,4,1,08/09/2021,334800
"13 differing st., phoenix, az",1952,1630,4,1,21/09/2021,329500
"48  chiliarchs  st.,  houston,  tx",1977,1620,0,2,27/08/2021,321500
"200 unliked st., atlanta, ga",1980,1509,3.5,2,25/10/2021,286800
"185 muttering st., atlanta, ga",1953,1614,4,2,05/11/2021,323800
"116 cuitlacoche st., atlanta, ga",1991,1961,4.5,2,01/11/2021,415200
"117 sealskin rd., atlanta, ga",2013,1782,4,2,06/11/2021,323100
"191 debit rd., atlanta, ga",1989,1412,3.5,2,27/08/2021,244000
"15 isohexadecane ave., phoenix, az",1981,1778,4,1,27/10/2021,333600
"183 subtrapezoidal rd., phoenix, az",1999,1479,3.5,1,01/08/2021,265200
"107 oversensitive st., atlanta, ga",2001,1957,4.5,2,12/10/2021,327900
"158 mahala st., phoenix, az",2013,1894,4.5,1,24/08/2021,312100
"86 lassitude st., atlanta, ga",2004,1919,4.5,1,11/11/2021,369500
"3 stressless st., phoenix, az",1975,1562,3.5,1,20/08/2021,286500
"199 hypercalcaemia st., atlanta, ga",1981,1715,4,2,30/07/2021,309200
"94 upstay st., atlanta, ga",1961,1830,4.5,2,07/11/2021,316100
"134  hand-frame  st.,  atlanta,  ga",2016,1980,4.5,2,30/09/2021,385300
"108 foreclose st., atlanta, ga",1987,1939,4.5,2,15/08/2021,384100
"95 dacoits rd., atlanta, ga",1964,1885,4.5,2,25/07/2021,353800
"184  piranhas  st.,  atlanta,  ga",1962,1486,3.5,2,01/10/2021,240100
"145 nocht st., houston, tx",2008,1710,0,1,31/07/2021,346600
"86  michener  rd.,  atlanta,  ga",1959,1929,4.5,2,31/10/2021,390700
"60 churrigueresco st., phoenix, az",1950,1786,4,2,03/10/2021,345400
"83 naphthous st., atlanta, ga",1995,1558,3.5,2,23/07/2021,296300
"125 federation ave., phoenix, az",1958,1998,4.5,2,30/07/2021,340800
"94 karyon ave., phoenix, az",1998,1579,3.5,1,04/10/2021,316000
"119 neoconservatism st., phoenix, az",1967,1917,4.5,1,23/07/2021,394700
"110 sternwards ave., atlanta, ga",1985,1789,4,2,16/08/2021,364700
"33 pigeon-livered rd., atlanta, ga",2018,1859,4.5,1,12/11/2021,396300
"82 enclitically st., las vegas, nv",1995,1898,4.5,1,23/07/2021,363000
"72 unsounded ave., phoenix, az",1951,1742,4,1,04/10/2021,319300
"54 shales rd., las vegas, nv",1962,1854,4.5,1,23/10/2021,396000
"164 lumberyard st., atlanta, ga",1958,1810,4.5,2,23/08/2021,304500
"11 gastrique st., phoenix, az",1987,1494,3.5,1,07/10/2021,254800
"89 twattle st., las vegas, nv",1997,1753,4,1,27/08/2021,325200
"82 undersampling rd., houston, tx",2017,1958,0,2,25/07/2021,337000
"16 unpolish st., phoenix, az",1978,1902,4.5,2,24/09/2021,391000
"81 doctrines rd., las vegas, nv",1965,1439,3.5,2,21/10/2021,281100
"24  awe-inspiring  st.,  phoenix,  az",2018,1613,4,1,02/11/2021,309800
"59 babylon rd., houston, tx",1975,1481,0,2,21/07/2021,255000
"168 atony st., phoenix, az",1959,1918,4.5,2,08/08/2021,338100
"101 guanaco st., las vegas, nv",1989,1706,4,2,29/07/2021,294700
"62 keuper st., phoenix, az",1984,1494,3.5,1,10/11/2021,323700
"30 loathed st., phoenix, az",1964,1514,3.5,2,11/11/2021,249500
"104 jorgesaysno st., phoenix, az",1962,1833,4.5,2,24/07/2021,323200
"34 boilermen rd., houston, tx",1981,1881,0,2,12/09/2021,378300
"70 kerns ave., houston, tx",1961,1415,0,1,24/10/2021,243700
"48 shman ave., phoenix, az",1986,1623,4,1,09/08/2021,254600
"93 cryptographer st., las vegas, nv",1977,1560,3.5,1,29/10/2021,286400
"125 corn-fodder ave., las vegas, nv",1986,1462,3.5,1,01/11/2021,245200
"104 shouldered st., phoenix, az",1968,1964,4.5,2,31/10/2021,385600
"64 unrig st., phoenix, az",1997,1940,4.5,2,27/09/2021,414500
"124 soft-key st., houston, tx",1993,1422,0,1,25/07/2021,232000
"53 right st., phoenix, az",1952,1746,4,2,10/10/2021,333800
"11 steve rd., atlanta, ga",2009,1455,3.5,2,20/09/2021,248300
"115 photoionization st., phoenix, az",2001,1698,4,2,21/08/2021,311100
"58 hill-bird st., phoenix, az",1976,1722,4,2,20/09/2021,359100
"131 blegging st., las vegas, nv",1960,1518,3.5,1,24/08/2021,259900
"60 typo180 st., las vegas, nv",2003,1946,4.5,1,04/09/2021,318400
"86 dentate ave., phoenix, az",2000,1589,3.5,1,05/08/2021,326800
"115 endmember st., atlanta, ga",1966,1447,3.5,1,22/09/2021,259700
"147 dhurries st., las vegas, nv",2010,1552,3.5,1,29/07/2021,273000
"152 janglour st., las vegas, nv",1985,1603,4,2,05/08/2021,328200
"56 crocheter st., las vegas, nv",1973,1827,4.5,2,11/09/2021,385900
"91 spice-scented ave., las vegas, nv",1968,1630,4,2,10/08/2021,309000
"67 dismember st., las vegas, nv",2001,1861,4.5,2,27/10/2021,368600
"44 panchatantra st., phoenix, az",1958,1938,4.5,2,30/08/2021,354000
"43 wakeless st., atlanta, ga",2013,1888,4.5,2,09/08/2021,349600
"64 rosaceous st., phoenix, az",2000,1977,4.5,1,14/08/2021,404200
"82 chordotonal st., phoenix, az",1951,1561,3.5,1,05/10/2021,276500
"33  after-world  ave.,  phoenix,  az",2017,1882,4.5,2,10/09/2021,375700
"95 subjectivism st., atlanta, ga",1977,1451,3.5,2,27/07/2021,246500
"158 librpc st., las vegas, nv",2006,1762,4,1,06/10/2021,373900
"163 integrin ave., atlanta, ga",2004,1663,4,1,24/07/2021,309000
"2  putchuck  ave.,  phoenix,  az",1956,1941,4.5,1,21/08/2021,373300
"31 todos ave., atlanta, ga",1964,1615,4,2,28/10/2021,276700
"87 spiniest st., houston, tx",1955,1450,0,2,16/08/2021,243700
"136 slovenes st., houston, tx",1966,1462,0,1,09/11/2021,235700
"112 flameouts ave., phoenix, az",1954,1953,4.5,2,19/07/2021,334600
"199  superiorities  st.,  phoenix,  az",1974,1597,3.5,1,14/09/2021,338400
"125 cut-toothed ave., atlanta, ga",1978,1574,3.5,1,10/11/2021,259600
"19 ducally st., houston, tx",1975,1693,0,2,09/08/2021,320400
"122 manuel ave., phoenix, az",1968,1961,4.5,1,14/08/2021,348500
"129 telephoning st., phoenix, az",1950,1643,4,2,14/08/2021,302800
"72 ententes st., phoenix, az",2013,1464,3.5,1,19/09/2021,239100
"96 thema st., houston, tx",1977,1637,0,2,25/10/2021,286700
"74  dipole  st.,  houston,  tx",1982,1442,0,1,15/08/2021,306500
"165 profite st., atlanta, ga",1955,1917,4.5,1,07/09/2021,390300
"51 repressure st., phoenix, az",2010,1695,4,2,14/10/2021,302200
"156 waste ave., phoenix, az",1984,1969,4.5,2,30/10/2021,365800
"167 tussock-moth st., phoenix, az",1962,1852,4.5,2,18/07/2021,308900
"65 drugger ave., houston, tx",2000,1586,0,1,26/08/2021,299700
"137 unengaged st., las vegas, nv",1953,1462,3.5,1,26/07/2021,239900
"126 brobdingnagian st., phoenix, az",1951,1927,4.5,1,28/07/2021,349100
"175 unifiable st., atlanta, ga",1980,1774,4,1,22/08/2021,367200
"82 journeyman st., las vegas, nv",1961,1538,3.5,1,01/10/2021,284800
"55 subdivides ave., phoenix, az",2018,1671,4,2,24/08/2021,296800
"101 nonfreezing rd., las vegas, nv",1978,1775,4,2,20/08/2021,335000
"36 repolarized rd., phoenix, az",1954,1909,4.5,1,04/10/2021,363800
"168 trimetrical st., atlanta, ga",1969,1579,3.5,2,26/07/2021,314600
"148 israelites st., atlanta, ga",1984,1424,3.5,2,05/11/2021,237400
"45 œdicnemus st., phoenix, az",2014,1539,3.5,1,16/10/2021,295400
"199 fillers st., phoenix, az",1964,1987,4.5,2,23/09/2021,417000
"61 hydrotreat st., houston, tx",1962,1519,0,1,19/07/2021,275000
"181 whoppers st., phoenix, az",1983,1468,3.5,1,24/09/2021,271400
"120  zugzwang  rd.,  phoenix,  az",1964,1604,4,1,02/11/2021,266200
"14 beena st., phoenix, az",1964,1549,3.5,2,02/09/2021,259100
"53 nonhair st., atlanta, ga",2014,1759,4,2,22/08/2021,330700
"159 quartzite st., las vegas, nv",1997,1485,3.5,1,27/09/2021,307200
"35 merket rd., las vegas, nv",2014,1566,3.5,1,29/08/2021,294400
"10 vulcanologists rd., las vegas, nv",1991,1782,4,1,10/11/2021,303500
"87 calories rd., las vegas, nv",1982,1784,4,2,23/07/2021,318400
"77 snowwoman rd., phoenix, az",2014,1607,4,2,02/10/2021,276500
"72 vaucheria st., atlanta, ga",1983,1895,4.5,1,12/09/2021,315300
"147 flipsides st., phoenix, az",1955,1602,4,2,04/09/2021,299900
"60 cudgeling st., phoenix, az",1974,1683,4,2,04/08/2021,357800
"49 cinque-spotted st., atlanta, ga",1975,1537,3.5,1,22/08/2021,291400
"91 deliberates ave., atlanta, ga",1968,1590,3.5,2,10/08/2021,323800
"135 vulgarization rd., phoenix, az",1983,1921,4.5,2,03/10/2021,368600
"184 drafting-room st., las vegas, nv",2010,1570,3.5,1,04/09/2021,268900
"120 captation st., phoenix, az",1972,1442,3.5,1,06/08/2021,299100
"66  storm-belt  st.,  phoenix,  az",1973,1950,4.5,2,15/08/2021,414200
"6 unified ave., atlanta, ga",2012,1449,3.5,2,11/10/2021,305100
"15 wrinkleproof ave., phoenix, az",1999,1852,4.5,2,13/10/2021,294600
"114 types rd., las vegas, nv",1965,1787,4,1,29/07/2021,348800
"196 percentiles st., phoenix, az",1951,1846,4.5,2,05/09/2021,324200
"96 taxidermies rd., atlanta, ga",2018,1673,4,2,09/08/2021,318500
"8 defines st., atlanta, ga",1958,1799,4,1,28/08/2021,342700
"51 streaky ave., atlanta, ga",2000,1523,3.5,1,10/10/2021,276500
"29 neogrammarians st., phoenix, az",1955,1920,4.5,1,25/07/2021,385500
"109 noone ave., atlanta, ga",1972,1748,4,2,09/10/2021,328300
"71 ralline st., atlanta, ga",2015,1425,3.5,1,14/08/2021,278900
"2 moric st., phoenix, az",2014,1721,4,1,28/09/2021,280600
"147 coloristically st., atlanta, ga",1999,1413,3.5,1,08/10/2021,299400
"93 parent-form rd., atlanta, ga",1982,1728,4,2,17/10/2021,344400
"148 leuctra rd., las vegas, nv",1992,1612,4,2,15/08/2021,298700
"10 vulcanologists rd., las vegas, nv",1991,1782,4,1,10/11/2021,303500
"164 igniting st., atlanta, ga",2002,1555,3.5,1,02/11/2021,299500
"37 armless st., atlanta, ga",1992,1702,4,2,11/09/2021,357900
"101 builders st., phoenix, az",1982,1923,4.5,1,29/07/2021,409100
"35 chaperonins rd., atlanta, ga",2005,1655,4,2,22/10/2021,339100
"29 chukotka st., atlanta, ga",1961,1917,4.5,2,17/10/2021,364900
"51 twenty-second st., phoenix, az",1950,1997,4.5,2,19/10/2021,340800
"69 gantline st., las vegas, nv",1990,1774,4,2,01/11/2021,313900
"192 centrarchid rd., phoenix, az",1963,1880,4.5,1,18/10/2021,369300
"46 analogical st., phoenix, az",2010,1735,4,1,08/11/2021,304000
"79 popishly rd., las vegas, nv",1977,1826,4.5,2,04/09/2021,316500
"136 tmtowtdi st., phoenix, az",2008,1532,3.5,2,29/10/2021,266300
"124 sextic st., houston, tx",1967,1529,0,1,11/11/2021,317900
"64 waken st., houston, tx",1981,1487,0,2,07/11/2021,291100
"62 defriend ave., houston, tx",2017,1490,0,2,26/07/2021,287900
"186 mulish ave., phoenix, az",1994,1994,4.5,2,22/07/2021,428900
"106 redeployed rd., las vegas, nv",1996,1863,4.5,1,29/09/2021,331800
"37 contain ave., phoenix, az",1963,1939,4.5,2,01/08/2021,312200
"189 bukke ave., phoenix, az",1995,1566,3.5,1,19/07/2021,316800
"130 derival st., phoenix, az",1968,1778,4,1,18/10/2021,289900
"176 parleyvoo st., phoenix, az",1979,1446,3.5,1,27/10/2021,280500
"80 vanishest st., houston, tx",2016,1753,0,2,10/09/2021,338500
"81 unblockable st., las vegas, nv",1955,1543,3.5,1,23/10/2021,302500
"77 postillion rd., atlanta, ga",1953,1847,4.5,2,08/08/2021,320100
"61 noninjury rd., phoenix, az",2011,1669,4,1,10/08/2021,341200
"197 vibrated st., atlanta, ga",1961,1614,4,2,23/10/2021,300500
"112 abutilon st., phoenix, az",1966,1530,3.5,2,07/09/2021,263600
"92 knuckle-walking ave., las vegas, nv",1995,1929,4.5,1,07/11/2021,364600
"1  decolonizing  st.,  las  vegas,  nv",1965,1616,4,2,15/10/2021,296400
"147 passe rd., atlanta, ga",1977,1591,3.5,1,05/10/2021,271900
"55 pourpoint ave., las vegas, nv",1997,1537,3.5,1,10/10/2021,292400
"27 apiphobia ave., las vegas, nv",1963,1966,4.5,2,25/07/2021,408400
"175 plasmature rd., phoenix, az",2016,1477,3.5,2,15/08/2021,253800
"175 bedding-stone st., phoenix, az",2004,1932,4.5,1,09/11/2021,366200
"177 clathrin st., atlanta, ga",1977,1974,4.5,2,27/07/2021,346200
"131 fare-box st., phoenix, az",2000,1473,3.5,2,04/08/2021,250400
"34 establish st., atlanta, ga",1982,1741,4,2,18/07/2021,327800
"180 jeanne rd., phoenix, az",1964,1703,4,2,15/10/2021,357000
"16 unpolish st., phoenix, az",1978,1902,4.5,2,24/09/2021,391000
"12 unanswerability rd., phoenix, az",2016,1442,3.5,2,25/10/2021,305600
"12 credited st., phoenix, az",2004,1421,3.5,2,09/11/2021,253700
"187 morgan le fay st., atlanta, ga",1972,1887,4.5,2,25/07/2021,335400
"191 haram rd., phoenix, az",1972,1716,4,2,22/10/2021,312500
"21 reschedule rd., atlanta, ga",2008,1430,3.5,1,28/07/2021,228500
"133 trustee st., phoenix, az",1985,1961,4.5,2,31/07/2021,387400
"76 mesonychian ave., phoenix, az",2011,1601,4,1,02/09/2021,290200
"171 groanings rd., las vegas, nv",1970,1927,4.5,1,30/08/2021,403900
"68 speechmaking rd., las vegas, nv",1993,1901,4.5,2,26/09/2021,325100
"151  plashet  ave.,  phoenix,  az",1990,1789,4,1,02/11/2021,353400
"173 cozier st., phoenix, az",2009,1961,4.5,2,10/10/2021,333600
"165 unfalsified st., houston, tx",2003,1974,0,2,11/10/2021,424600
"1 reticulocyte st., houston, tx",1983,1796,0,1,13/10/2021,317300
"61  pranksterish  st.,  atlanta,  ga",1997,1496,3.5,1,05/11/2021,290700
"186 ashkenazim rd., houston, tx",1954,1412,0,1,16/10/2021,254000
"6 fact-finding rd., phoenix, az",1972,1643,4,2,16/08/2021,294400
"70 ill-sorted ave., atlanta, ga",1992,1806,4.5,2,26/08/2021,313800
"158 realizing st., atlanta, ga",1979,1704,4,2,11/09/2021,297700
"43 stupidest st., atlanta, ga",2019,1423,3.5,1,23/08/2021,293200
"185 medicine rd., phoenix, az",1983,1426,3.5,1,08/10/2021,295500
"154 noncaring st., phoenix, az",2010,1957,4.5,1,08/08/2021,381700
"124 supports ave., atlanta, ga",2001,1491,3.5,2,09/10/2021,256100
"175 libeccio ave., houston, tx",1975,1798,0,2,25/09/2021,307900
"13 deprehend ave., phoenix, az",1965,1657,4,2,02/11/2021,332400
"114 longpig st., phoenix, az",1994,1839,4.5,2,18/09/2021,335300
"27 repressors st., las vegas, nv",2005,1597,3.5,1,22/10/2021,332900
"156 infraspinous rd., houston, tx",1976,1572,0,1,20/08/2021,298500
"101 builders st., phoenix, az",1982,1923,4.5,1,29/07/2021,409100
"129 yellowed ave., houston, tx",1969,1985,0,2,06/11/2021,367700
"18 re-framing ave., phoenix, az",2005,1493,3.5,1,07/10/2021,318000
"34 advancemente ave., las vegas, nv",1958,1926,4.5,2,17/10/2021,358900
"33  unstratified  rd.,  phoenix,  az",2006,1596,3.5,1,18/08/2021,298200
"168 interims st., phoenix, az",1956,1802,4.5,1,25/07/2021,319600
"73 spiderwebs rd., houston, tx",2003,1736,0,2,22/09/2021,333500
"105 stone-deaf rd., phoenix, az",1954,1925,4.5,2,15/10/2021,395600
"74 herkie rd., phoenix, az",1993,1994,4.5,2,01/08/2021,372200
"150 ichthyolite rd., las vegas, nv",1980,1831,4.5,1,31/08/2021,381300
"22 myriapoda ave., houston, tx",1984,1639,0,2,06/10/2021,335700
"108 rebooks ave., phoenix, az",1997,1780,4,1,26/09/2021,346100
"9 misfitting st., las vegas, nv",1999,1621,4,1,13/09/2021,273300
"1 crispbread ave., atlanta, ga",2000,1547,3.5,1,07/09/2021,306500
"154 undespondent rd., las vegas, nv",1995,1640,4,1,13/08/2021,323500
"14 disbelievers st., las vegas, nv",1967,1913,4.5,1,10/08/2021,365500
"182  couch-grass  st.,  phoenix,  az",1992,1466,3.5,1,29/08/2021,265400
"148 israelites st., atlanta, ga",1984,1424,3.5,2,05/11/2021,237400
"79 greatcoats st., atlanta, ga",1997,1451,3.5,1,12/09/2021,273500
"5 misnomer rd., atlanta, ga",1991,1544,3.5,1,21/10/2021,269800
"172 michigan ave., las vegas, nv",1954,1851,4.5,1,17/10/2021,381800
"75 walcheren rd., phoenix, az",1958,1641,4,2,05/10/2021,335800
"20 thysen st., las vegas, nv",1953,1821,4.5,2,07/11/2021,345700
"142 purification st., las vegas, nv",1975,1754,4,2,01/10/2021,314600
"196 well-in ave., phoenix, az",1958,1806,4.5,2,24/10/2021,320300
"67 crawlable st., phoenix, az",1966,1930,4.5,2,29/07/2021,397300
"137 woken st., atlanta, ga",1951,1778,4,2,28/09/2021,355900
"133 since ave., phoenix, az",1991,1505,3.5,1,27/07/2021,272300
"195 percussions st., las vegas, nv",1959,1502,3.5,1,20/07/2021,316000
"79 popishly rd., las vegas, nv",1977,1826,4.5,2,04/09/2021,316500
"61 dung-hook rd., phoenix, az",1968,1813,4.5,1,04/11/2021,378700
"125 unhead st., atlanta, ga",1952,1698,4,2,03/08/2021,354100
"104 thimblefuls st., phoenix, az",2010,1922,4.5,2,14/11/2021,348500
"190 conspecifics st., phoenix, az",1980,1875,4.5,1,31/08/2021,370200
"68 stone-yard st., phoenix, az",1962,1725,4,2,07/09/2021,355900
"150 overshadowed st., phoenix, az",1954,1404,3.5,1,30/09/2021,256500
"121 disklike rd., phoenix, az",2000,1933,4.5,1,19/10/2021,387700
"55 doctorly st., phoenix, az",1959,1509,3.5,1,02/11/2021,300800
"1 immartial rd., houston, tx",2010,1914,0,2,06/11/2021,390300
"174 thaddeus st., phoenix, az",2016,1918,4.5,2,02/08/2021,429700
"102 disseminators st., atlanta, ga",1980,1948,4.5,1,01/09/2021,365000
"35 whirlwinds ave., phoenix, az",1950,1859,4.5,2,22/10/2021,374900
"149 algorithmically rd., phoenix, az",1966,1869,4.5,2,15/09/2021,383800
"40 clanger st., phoenix, az",1976,1957,4.5,2,09/08/2021,428800
"99 olivier ave., las vegas, nv",1989,1429,3.5,1,06/11/2021,300700
"106 fuchsin st., las vegas, nv",1983,1812,4.5,2,23/07/2021,372600
"158 misrecollection ave., phoenix, az",1958,1525,3.5,1,05/08/2021,263800
"23 relye rd., atlanta, ga",1983,1545,3.5,1,23/10/2021,312700
"56 solifluction st., phoenix, az",2000,1816,4.5,1,27/09/2021,294600
"87 puzzle-cup st., las vegas, nv",1963,1686,4,2,25/07/2021,297500
"75 noncommodified st., phoenix, az",1980,1745,4,1,08/08/2021,352400
"86 prius st., las vegas, nv",1971,1717,4,1,05/11/2021,340900
"190 nonfree st., atlanta, ga",2011,1943,4.5,1,26/10/2021,326300
"184 drafting-room st., las vegas, nv",2010,1570,3.5,1,04/09/2021,268900
"59 hurghada st., atlanta, ga",1989,1505,3.5,1,17/08/2021,261600
"84 vamure st., phoenix, az",2002,1556,3.5,1,09/08/2021,301800
"165 outlier rd., atlanta, ga",1962,1478,3.5,1,20/10/2021,324100
"177 floodlit ave., las vegas, nv",1954,1513,3.5,1,12/08/2021,325600
"53 melastomataceae st., atlanta, ga",1951,1745,4,2,20/10/2021,365000
"62 vertue st., phoenix, az",1990,1789,4,2,23/07/2021,354300
"138 silver-rod ave., las vegas, nv",2016,1641,4,2,25/10/2021,282200
"40 instructed ave., phoenix, az",2012,1508,3.5,2,30/08/2021,276700
"38 neoptolemus ave., phoenix, az",1997,1470,3.5,1,29/08/2021,248400
"163 overshare ave., phoenix, az",2018,1593,3.5,1,28/09/2021,327000
"132 stoggy ave., phoenix, az",1971,1841,4.5,1,07/09/2021,370500
"148 ticker st., houston, tx",1984,1552,0,1,02/11/2021,271400
"120 electrodermal st., houston, tx",1980,1999,0,2,02/11/2021,325700
"184 dissociation st., las vegas, nv",1978,1480,3.5,2,14/11/2021,279900
"197 jungle-nail rd., atlanta, ga",1958,1538,3.5,1,28/08/2021,296100
"199  superiorities  st.,  phoenix,  az",1974,1597,3.5,1,14/09/2021,338400
"98 weeding-hook ave., phoenix, az",2004,1444,3.5,1,27/08/2021,292400
"51 santander rd., phoenix, az",2006,1659,4,1,21/09/2021,286000
"123 ilian st., atlanta, ga",1960,1648,4,2,14/11/2021,282200
"183 self-evidence st., phoenix, az",1981,1478,3.5,2,17/09/2021,257100
"168 unthreaded ave., atlanta, ga",1986,1865,4.5,2,08/08/2021,389700
"120 graveness ave., atlanta, ga",1970,1500,3.5,1,30/08/2021,259300
"87 lammastide ave., atlanta, ga",1954,1556,3.5,1,22/08/2021,258100
"190 miscalibrating rd., phoenix, az",1974,1755,4,2,06/10/2021,342900
"175 diploic st., phoenix, az",1951,1534,3.5,2,03/09/2021,287200
"53 states ave., atlanta, ga",1974,1583,3.5,2,09/10/2021,270900
"101 fair-minded st., atlanta, ga",2019,1868,4.5,2,04/11/2021,316100
"11 treemaps st., phoenix, az",1977,1877,4.5,2,27/10/2021,327900
"29 eichorn st., phoenix, az",1973,1438,3.5,1,06/10/2021,305300
"45 air-engine ave., atlanta, ga",1969,1954,4.5,2,09/10/2021,324200
"170 seclusion st., las vegas, nv",1988,1474,3.5,2,17/09/2021,306200
"135 cheatgrass rd., atlanta, ga",1976,1801,4.5,2,18/08/2021,330900
"190 breakableness st., phoenix, az",2004,1851,4.5,2,23/10/2021,349300
"133  saucepot  ave.,  las  vegas,  nv",2017,1896,4.5,2,12/08/2021,347300
"163 overshare ave., phoenix, az",2018,1593,3.5,1,28/09/2021,327000
"13 gingall rd., las vegas, nv",2004,1874,4.5,1,08/09/2021,348100
"98 ransacked ave., atlanta, ga",1990,1494,3.5,1,05/08/2021,258800
"113 immoralize st., phoenix, az",1981,1864,4.5,2,16/10/2021,381700
"196 hominin ave., atlanta, ga",1986,1611,4,2,18/07/2021,262900
"120 gynephobia st., atlanta, ga",2003,1546,3.5,2,03/11/2021,279100
"167 debarkations st., atlanta, ga",2007,1517,3.5,1,26/08/2021,253300
"169 ballpoints st., las vegas, nv",1976,1901,4.5,2,19/08/2021,349900
"64 hydropsyche rd., phoenix, az",1993,1688,4,2,24/08/2021,300100
"82 sterotypical ave., atlanta, ga",1980,1899,4.5,1,30/10/2021,336700
"10 self-fertilised st., phoenix, az",1979,1688,4,2,30/08/2021,362000
"140 major st., las vegas, nv",1982,1498,3.5,1,13/08/2021,273900
"38 tusked ave., atlanta, ga",1962,1808,4.5,1,02/11/2021,368600
"185 ground-finch rd., houston, tx",1981,1964,0,1,28/10/2021,322500
"67 excide rd., las vegas, nv",1995,1507,3.5,1,24/08/2021,297000
"64 ileal rd., phoenix, az",1989,1493,3.5,2,23/09/2021,244300
"89 viner st., houston, tx",2004,1951,0,1,10/09/2021,380800
"36 scorpius ave., atlanta, ga",1986,1607,4,2,26/09/2021,279100
"5 worsened ave., atlanta, ga",2014,1912,4.5,1,21/07/2021,389400
"192 hebephilia st., phoenix, az",1951,1493,3.5,1,24/07/2021,329900
"160 single-spaced st., atlanta, ga",2017,1925,4.5,2,20/10/2021,379100
"199 modulator's ave., atlanta, ga",2005,1734,4,2,18/10/2021,292200
"13  sternly  rd.,  las  vegas,  nv",2018,1611,4,1,31/08/2021,291700
"121 labyrinthlike st., las vegas, nv",1958,1803,4.5,2,24/09/2021,285000
"156  brainfart  rd.,  las  vegas,  nv",1973,1901,4.5,2,23/08/2021,372400
"197  fencing-school  st.,  las  vegas,  nv",2012,1594,3.5,2,30/10/2021,317300
"43 l'aquila st., phoenix, az",2000,1997,4.5,2,05/11/2021,357200
"22 subclassing ave., phoenix, az",2018,1833,4.5,2,28/07/2021,362000
"81 distal rd., phoenix, az",1992,1972,4.5,1,19/09/2021,373400
"57 upcast ave., atlanta, ga",1960,1989,4.5,2,31/08/2021,379800
"114  involve  st.,  las  vegas,  nv",1987,1689,4,2,10/08/2021,285500
"114 unparseable ave., houston, tx",1953,1703,0,2,22/09/2021,310400
"142 ingrateful st., houston, tx",2006,1548,0,1,04/10/2021,280800
"119 finite rd., las vegas, nv",1972,1510,3.5,2,15/10/2021,287800
"94 spannel st., phoenix, az",1958,1851,4.5,2,12/09/2021,348900
"79 acid-loving ave., phoenix, az",1952,1893,4.5,2,08/11/2021,324400
"123  blitzstein  ave.,  atlanta,  ga",1958,1446,3.5,1,17/08/2021,250200
"149 pissis st., phoenix, az",1975,1503,3.5,1,27/10/2021,277200
"102 airdromes st., phoenix, az",1995,1480,3.5,1,19/07/2021,320200
"6 destined ave., las vegas, nv",1965,1826,4.5,1,21/09/2021,378200
"184 transepts rd., atlanta, ga",1995,1462,3.5,1,04/08/2021,257900
"25 miscitation st., phoenix, az",1973,1810,4.5,2,13/11/2021,392400
"41 allied st., atlanta, ga",1993,1632,4,2,14/08/2021,288400
"71  trinominal  st.,  houston,  tx",1983,1762,0,1,03/08/2021,317400
"87 disapprobative st., las vegas, nv",1985,1416,3.5,1,06/08/2021,255400
"158 ploughshare ave., phoenix, az",1964,1660,4,2,16/09/2021,270900
"35 parallelogram st., phoenix, az",2010,1563,3.5,1,30/09/2021,328800
"9  adeiladol  rd.,  phoenix,  az",1988,1789,4,1,02/10/2021,303700
"182 integrity st., phoenix, az",1980,1962,4.5,2,27/10/2021,355900
"96 brutil st., phoenix, az",1966,1413,3.5,2,21/10/2021,250700
"183 wringers st., phoenix, az",1971,1788,4,1,22/08/2021,300200
"6 countour st., phoenix, az",2004,1903,4.5,1,30/09/2021,341300
"134 tip-up st., phoenix, az",2005,1807,4.5,1,27/10/2021,331100
"55 counterbidders ave., phoenix, az",1997,1773,4,1,13/11/2021,343100
"194 scabbiest st., las vegas, nv",1990,1619,4,2,20/08/2021,259400
"140 altissimos ave., phoenix, az",2003,1494,3.5,1,09/09/2021,250300
"9 terrenely rd., atlanta, ga",2015,1948,4.5,2,12/10/2021,404900
"143 abdominalia st., houston, tx",1960,1799,0,1,29/09/2021,348500
"44 mutase st., phoenix, az",1997,1695,4,1,11/10/2021,297400
