Address,Last Status Date,List Price,Offer Price,Status
"192 Leucrota St., Atlanta, GA",2021-10-08,265800,271500,Offer Rejected - Price Too Low
"58 Upthrusts Ave., Atlanta, GA",2021-08-24,275000,270300,Offer Rejected - Price Too Low
"148 Protoceratops St., Phoenix, AZ",2021-09-17,256400,263300,Offer Rejected - Price Too Low
"189 Barclays Bank St., Houston, TX",2021-09-30,241100,236900,Offer Rejected - Price Too Low
"7 Biternate St., Atlanta, GA",2021-07-18,346600,348200,Offer Rejected - Price Too Low
"100 Cryptological St., Phoenix, AZ",2021-10-04,356400,369200,Offer Rejected - Price Too Low
"118 Gethsemane Ave., Las Vegas, NV",2021-10-09,281200,283800,Offer Rejected - Price Too Low
"145 Tinty Rd., Phoenix, AZ",2021-09-11,289300,300700,Offer Rejected - Price Too Low
"41 Roundworm Rd., Las Vegas, NV",2021-11-05,311400,322700,Offer Rejected - Price Too Low
"16 Purplish St., Atlanta, GA",2021-09-29,310900,336900,Closed
"76 Armorials Rd., Houston, TX",2021-11-28,337800,331200,Offer Rejected - Price Too Low
"2 Telegraph St., Las Vegas, NV",2021-11-11,231600,231300,Offer Rejected - Price Too Low
"38 Bokkens St., Phoenix, AZ",2021-10-21,243200,258200,Closed
"147 Chidingly St., Atlanta, GA",2021-07-29,246400,254200,Offer Rejected - Price Too Low
"52 Plyers St., Phoenix, AZ",2021-08-13,227000,235100,Offer Rejected - Price Too Low
"178 Deventer Rd., Houston, TX",2021-09-03,232400,227900,Offer Rejected - Price Too Low
"71 Pukers Ave., Phoenix, AZ",2021-11-26,359400,365600,Offer Rejected - Price Too Low
"98 Provider St., Phoenix, AZ",2021-09-26,295100,298500,Offer Rejected - Price Too Low
"51 Rifle Ave., Atlanta, GA",2021-11-05,350000,379800,Closed
"68 Topples St., Phoenix, AZ",2021-11-05,382800,405300,Offer Rejected - Price Too Low
"156 Inexpectedly St., Atlanta, GA",2021-07-27,253800,253200,Offer Rejected - Price Too Low
"117 Substitute Rd., Phoenix, AZ",2021-08-28,288500,291300,Offer Rejected - Pending
"13 Annoyment St., Phoenix, AZ",2021-11-26,216500,217800,Offer Rejected - Price Too Low
"22 Grand- Ave., Phoenix, AZ",2021-12-08,290000,290800,Offer Rejected - Price Too Low
"111 Squirreled Rd., Houston, TX",2021-12-03,254900,267600,Offer Rejected - Price Too Low
"128 Advertising St., Phoenix, AZ",2021-08-24,271400,273300,Offer Rejected - Price Too Low
"75 Microanalytic St., Las Vegas, NV",2021-09-03,283600,308300,Closed
"58 Hill-bird St., Phoenix, AZ",2021-09-20,343900,350100,Offer Rejected - Price Too Low
"131 Hand-wrought St., Las Vegas, NV",2021-07-22,336500,354900,Offer Rejected - Pending
"164 Fagot Ave., Phoenix, AZ",2021-09-28,318300,320900,Offer Rejected - Price Too Low
"19 Ducally St., Houston, TX",2021-08-09,298100,313400,Offer Rejected - Price Too Low
"159 Skittishly Rd., Las Vegas, NV",2021-12-07,310400,323500,Offer Rejected - Price Too Low
"40 Hyperdetailed St., Phoenix, AZ",2021-11-14,248600,252000,Offer Rejected - Price Too Low
"76 Superorder Ave., Atlanta, GA",2021-11-05,341100,370400,Closed
"103 Learning St., Atlanta, GA",2021-10-04,264300,285200,Closed
"108 Paternalistic St., Houston, TX",2021-09-07,302000,301600,Offer Rejected - Price Too Low
"74 Ceratioid Ave., Las Vegas, NV",2021-08-14,293800,306500,Offer Rejected - Price Too Low
"189 Squiggly St., Phoenix, AZ",2021-09-24,291900,309000,Offer Rejected - Price Too Low
"125 Throwing-mill St., Phoenix, AZ",2021-10-26,281600,288400,Offer Rejected - Price Too Low
"199 Disregardant St., Phoenix, AZ",2021-12-09,309300,304600,Offer Rejected - Price Too Low
"40 Railbanking Ave., Atlanta, GA",2021-11-24,238800,248100,Closed
"94 Spannel St., Phoenix, AZ",2021-09-12,311100,338700,Offer Rejected - Price Too Low
"10 Miner St., Atlanta, GA",2021-09-20,258900,275600,Offer Rejected - Price Too Low
"156 Recutting St., Phoenix, AZ",2021-10-28,320800,340500,Offer Rejected - Price Too Low
"137 Flower-gentle St., Phoenix, AZ",2021-09-18,343100,376400,Closed
"77 Broché Rd., Atlanta, GA",2021-09-06,283100,287400,Offer Rejected - Price Too Low
"71 Boastfully St., Atlanta, GA",2021-11-01,347900,365600,Offer Rejected - Price Too Low
"99 Besoms Rd., Phoenix, AZ",2021-08-20,240000,254300,Closed
"57 Mutches Ave., Las Vegas, NV",2021-09-17,252600,257000,Offer Rejected - Price Too Low
"60 Morning-sphinx St., Las Vegas, NV",2021-07-28,293500,294500,Offer Rejected - Pending
"2 Retouched Rd., Atlanta, GA",2021-09-06,325600,329000,Offer Rejected - Pending
"70 Algesia St., Phoenix, AZ",2021-08-23,310200,314600,Offer Rejected - Price Too Low
"94 Reforges St., Phoenix, AZ",2021-10-17,268400,286200,Offer Rejected - Price Too Low
"17 Contrivement St., Phoenix, AZ",2021-07-26,356100,373400,Offer Rejected - Price Too Low
"164 Willies St., Las Vegas, NV",2021-09-03,306200,297200,Offer Rejected - Price Too Low
"120 Latinizing St., Phoenix, AZ",2021-08-31,377500,376800,Offer Rejected - Price Too Low
"124 Spikes St., Las Vegas, NV",2021-11-08,367700,378600,Offer Rejected - Price Too Low
"163 Turps St., Phoenix, AZ",2021-10-18,279100,286400,Offer Rejected - Price Too Low
"168 Microbicidal St., Phoenix, AZ",2021-10-04,262100,270200,Offer Rejected - Price Too Low
"31 Braggingly St., Phoenix, AZ",2021-08-23,283400,272700,Offer Rejected - Price Too Low
"8 Jaw-jaw Rd., Las Vegas, NV",2021-08-18,354700,355600,Offer Rejected - Price Too Low
"42 Fid-hole Rd., Las Vegas, NV",2021-07-28,366600,405300,Closed
"108 Calendarists Rd., Las Vegas, NV",2021-11-21,310900,306800,Offer Rejected - Price Too Low
"74 Kavadarci Rd., Houston, TX",2021-08-23,256200,280800,Closed
"56 Codels St., Houston, TX",2021-08-30,260100,280100,Closed
"66 Mark-up Ave., Houston, TX",2021-09-13,307600,309300,Offer Rejected - Price Too Low
"66 Winkle-picker St., Atlanta, GA",2021-10-20,249600,273100,Closed
"35 Slegh Rd., Las Vegas, NV",2021-11-14,319600,322300,Offer Rejected - Price Too Low
"108 Lubra St., Las Vegas, NV",2021-10-16,250800,259100,Offer Rejected - Price Too Low
"12 Edified St., Houston, TX",2021-11-26,269900,281100,Offer Rejected - Price Too Low
"43 Digression St., Houston, TX",2021-08-23,295100,298500,Offer Rejected - Price Too Low
"85 Unled St., Phoenix, AZ",2021-09-28,273100,279700,Offer Rejected - Price Too Low
"167 Hand-wringing St., Atlanta, GA",2021-10-15,239500,247900,Offer Rejected - Price Too Low
"23 Dehumidify St., Atlanta, GA",2021-07-24,230300,229800,Offer Rejected - Price Too Low
"154 Viharas St., Houston, TX",2021-10-14,284800,311300,Closed
"183 Libidinous St., Phoenix, AZ",2021-10-25,305800,323800,Offer Rejected - Price Too Low
"85 Concordable Ave., Phoenix, AZ",2021-11-01,278800,295800,Offer Rejected - Pending
"84 Abusefully Ave., Phoenix, AZ",2021-10-08,289200,292700,Offer Rejected - Price Too Low
"1 Hideth Rd., Phoenix, AZ",2021-09-22,240100,241400,Offer Rejected - Price Too Low
"173 Amidst St., Atlanta, GA",2021-09-21,329400,322700,Offer Rejected - Price Too Low
"36 Beachballs Rd., Phoenix, AZ",2021-11-19,361700,383200,Offer Rejected - Price Too Low
"123 Acrilan St., Phoenix, AZ",2021-10-23,305600,303600,Offer Rejected - Price Too Low
"120 Unmoral St., Phoenix, AZ",2021-10-20,296200,306100,Offer Rejected - Price Too Low
"5 Unplastic Rd., Atlanta, GA",2021-07-25,344100,350900,Offer Rejected - Price Too Low
"126 Dinna Rd., Las Vegas, NV",2021-10-11,297300,312700,Closed
"103 Didacts St., Houston, TX",2021-12-09,330000,343200,Closed
"4 Nonquota St., Phoenix, AZ",2021-10-26,286700,306000,Offer Rejected - Price Too Low
"157 Insolubility Rd., Houston, TX",2021-11-23,330300,344200,Closed
"173 McNamara Rd., Atlanta, GA",2021-08-27,232700,250800,Closed
"141 Nonbird St., Phoenix, AZ",2021-08-28,270500,289500,Closed
"86 Majesties St., Houston, TX",2021-10-28,294200,291600,Offer Rejected - Price Too Low
"36 Duplexes St., Phoenix, AZ",2021-07-27,260600,271300,Offer Rejected - Price Too Low
"157 Disacknowledged Ave., Las Vegas, NV",2021-08-14,300200,314000,Offer Rejected - Price Too Low
"53 Deducing Rd., Atlanta, GA",2021-09-29,307100,324600,Closed
"176 Torcher Rd., Phoenix, AZ",2021-09-09,229900,243100,Offer Rejected - Price Too Low
"99 Recatching St., Atlanta, GA",2021-09-08,341300,346000,Offer Rejected - Price Too Low
"84 Algorithmics St., Las Vegas, NV",2021-12-10,288200,306600,Offer Rejected - Price Too Low
"103 Disambiguation St., Phoenix, AZ",2021-12-06,327800,318200,Offer Rejected - Price Too Low
"162 Sententiousness Ave., Phoenix, AZ",2021-10-24,343000,363400,Closed
"125 Kinds St., Houston, TX",2021-11-03,290800,291500,Offer Rejected - Price Too Low
"153 Mantids Rd., Phoenix, AZ",2021-11-16,356700,390700,Offer Rejected - Price Too Low
"127 Tortuous St., Phoenix, AZ",2021-08-19,300900,313700,Offer Rejected - Price Too Low
"83 Regretfully Rd., Las Vegas, NV",2021-10-03,334700,340000,Offer Rejected - Price Too Low
"47 Unstandardized St., Atlanta, GA",2021-08-13,329600,354000,Offer Rejected - Price Too Low
"191 Comprehensor St., Atlanta, GA",2021-07-25,377500,397000,Offer Rejected - Price Too Low
"74 Mountainous St., Atlanta, GA",2021-10-19,279200,287800,Offer Rejected - Pending
"8 Lilliputian Rd., Las Vegas, NV",2021-12-07,332400,338100,Offer Rejected - Price Too Low
"85 Oxbow St., Atlanta, GA",2021-12-05,291800,298500,Offer Rejected - Price Too Low
"20 Inosculation St., Las Vegas, NV",2021-09-01,315300,332000,Closed
"137 Unengaged St., Las Vegas, NV",2021-07-26,229900,239900,Closed
"162 Junketeer St., Phoenix, AZ",2021-10-29,277700,297200,Closed
"80 Typically Rd., Phoenix, AZ",2021-08-04,319500,349100,Closed
"117 Melosa Rd., Atlanta, GA",2021-10-24,227800,228000,Offer Rejected - Price Too Low
"117 Consultive St., Phoenix, AZ",2021-11-06,218100,217900,Offer Rejected - Price Too Low
"20 Uninhibitedly St., Atlanta, GA",2021-08-15,295200,304900,Offer Rejected - Price Too Low
"140 Vosges Ave., Atlanta, GA",2021-11-23,267500,287800,Closed
"103 Combatable St., Phoenix, AZ",2021-11-04,250300,275000,Closed
"173 Death-dance St., Phoenix, AZ",2021-08-25,289300,290800,Offer Rejected - Price Too Low
"72 Punctae St., Phoenix, AZ",2021-11-23,343300,366100,Closed
"28 Dunam Rd., Las Vegas, NV",2021-07-22,357700,362700,Offer Rejected - Price Too Low
"13 Limital St., Atlanta, GA",2021-08-06,254700,250800,Offer Rejected - Price Too Low
"125 Mounding St., Phoenix, AZ",2021-07-21,327800,331000,Offer Rejected - Price Too Low
"20 Archdruid Rd., Las Vegas, NV",2021-09-22,321000,353600,Offer Rejected - Pending
"71 Bootlick Rd., Phoenix, AZ",2021-09-13,266600,285900,Offer Rejected - Price Too Low
"11 Hafizes St., Atlanta, GA",2021-10-26,312500,313700,Offer Rejected - Price Too Low
"27 Race-horse Rd., Phoenix, AZ",2021-10-08,266600,268200,Offer Rejected - Price Too Low
"5 Nitrification St., Houston, TX",2021-10-16,247800,257500,Offer Rejected - Price Too Low
"62 Totty Ave., Phoenix, AZ",2021-07-26,289000,319400,Offer Rejected - Price Too Low
"51 Citrate St., Las Vegas, NV",2021-07-24,261100,264200,Offer Rejected - Price Too Low
"44 Niggerly St., Houston, TX",2021-09-28,367000,397500,Offer Rejected - Price Too Low
"57 Penalties St., Atlanta, GA",2021-11-12,304400,317600,Offer Rejected - Price Too Low
"31 Kilimanjaro St., Las Vegas, NV",2021-10-23,395800,412800,Offer Rejected - Price Too Low
"184 Debatement St., Houston, TX",2021-12-13,345100,347100,Offer Rejected - Price Too Low
"36 Lammer St., Phoenix, AZ",2021-08-02,314000,306500,Offer Rejected - Pending
"85 On-off St., Atlanta, GA",2021-10-17,307800,332100,Offer Rejected - Price Too Low
"60 Alcabala Rd., Atlanta, GA",2021-11-30,295600,287000,Offer Rejected - Price Too Low
"13 Emphasizers Ave., Houston, TX",2021-07-31,265200,270800,Offer Rejected - Price Too Low
"19 Unhallow Rd., Phoenix, AZ",2021-12-12,315700,339100,Offer Rejected - Price Too Low
"1 Coachmen St., Atlanta, GA",2021-11-07,259200,260300,Offer Rejected - Price Too Low
"184 Optimacy Ave., Phoenix, AZ",2021-09-25,335000,356900,Offer Rejected - Price Too Low
"43 Reinspirit St., Atlanta, GA",2021-08-23,270900,270800,Offer Rejected - Price Too Low
"11 Zucchettos St., Atlanta, GA",2021-12-01,331600,324900,Offer Rejected - Price Too Low
"94 Herpesvirus Rd., Phoenix, AZ",2021-10-12,312800,335600,Offer Rejected - Price Too Low
"2 Henpeck Rd., Phoenix, AZ",2021-07-18,243100,235700,Offer Rejected - Price Too Low
"106 Unspecialised Rd., Phoenix, AZ",2021-08-22,311300,318100,Offer Rejected - Price Too Low
"86 Prisoners St., Las Vegas, NV",2021-09-20,268800,280500,Closed
"89 Restoril Rd., Atlanta, GA",2021-11-18,324400,350000,Closed
"155 Inequalitarians Rd., Atlanta, GA",2021-12-14,263800,275600,Offer Rejected - Price Too Low
"121 Water-tube St., Phoenix, AZ",2021-10-23,349800,361800,Offer Rejected - Pending
"120 Metrologist Ave., Phoenix, AZ",2021-09-05,330000,350800,Offer Rejected - Price Too Low
"134 Squushing Rd., Phoenix, AZ",2021-10-01,281000,306800,Closed
"9 Cordgrasses Rd., Las Vegas, NV",2021-10-01,275000,270100,Offer Rejected - Price Too Low
"18 Harp-lute Ave., Phoenix, AZ",2021-10-23,241700,243000,Offer Rejected - Price Too Low
"37 Patavium St., Phoenix, AZ",2021-12-08,288800,307100,Offer Rejected - Price Too Low
"94 Rampire St., Las Vegas, NV",2021-10-20,322300,337000,Closed
"25 Strangely Ave., Las Vegas, NV",2021-08-24,256400,255800,Offer Rejected - Price Too Low
"16 Nonbearing St., Phoenix, AZ",2021-07-25,393800,395300,Offer Rejected - Price Too Low
"144 Fly-off Ave., Phoenix, AZ",2021-12-08,302100,325200,Closed
"104 Papadopoulos St., Phoenix, AZ",2021-08-19,279100,278700,Offer Rejected - Price Too Low
"74 Declive St., Phoenix, AZ",2021-11-02,365800,400200,Closed
"132 Amusical Rd., Phoenix, AZ",2021-11-13,247700,249200,Offer Rejected - Price Too Low
"87 Alkalinization St., Phoenix, AZ",2021-09-22,325500,331400,Offer Rejected - Price Too Low
"22 Italianizations Ave., Phoenix, AZ",2021-09-17,316300,313600,Offer Rejected - Price Too Low
"188 Kwangtung St., Phoenix, AZ",2021-09-10,233600,236900,Offer Rejected - Price Too Low
"114 Wheel-base St., Atlanta, GA",2021-11-18,253800,260600,Offer Rejected - Price Too Low
"25 Microearthquake Rd., Las Vegas, NV",2021-10-04,312200,325200,Closed
"80 Ninon St., Phoenix, AZ",2021-07-30,384900,376900,Offer Rejected - Pending
"50 Co-ordination Ave., Phoenix, AZ",2021-11-19,245200,262200,Offer Rejected - Price Too Low
"68 Vicksburg St., Las Vegas, NV",2021-11-11,328800,328100,Offer Rejected - Price Too Low
"154 Silk-grass St., Atlanta, GA",2021-07-18,287200,314000,Closed
"161 Enlargest Rd., Las Vegas, NV",2021-08-06,287700,290800,Offer Rejected - Price Too Low
"119 Crustie St., Houston, TX",2021-10-21,313400,309500,Offer Rejected - Price Too Low
"49 Distancer St., Las Vegas, NV",2021-11-10,262900,268900,Offer Rejected - Price Too Low
"195 Accolades Ave., Phoenix, AZ",2021-07-27,325400,330700,Offer Rejected - Price Too Low
"94 Dowle Ave., Las Vegas, NV",2021-09-28,310700,334500,Closed
"191 Shopsoiled St., Atlanta, GA",2021-10-20,214400,217000,Offer Rejected - Price Too Low
"197 Ill-humoredly Ave., Houston, TX",2021-11-30,338400,362400,Offer Rejected - Price Too Low
"17 Wrists St., Atlanta, GA",2021-12-10,318700,335400,Closed
"3 Sublevels St., Phoenix, AZ",2021-07-31,321500,339500,Closed
"12 Electrolyzing Rd., Atlanta, GA",2021-11-18,312600,313400,Offer Rejected - Pending
"80 Hair-pencil St., Atlanta, GA",2021-12-08,251500,272200,Closed
"11 Escence St., Atlanta, GA",2021-11-19,301600,310200,Offer Rejected - Price Too Low
"160 Libbard St., Las Vegas, NV",2021-12-03,297100,308100,Offer Rejected - Price Too Low
"88 Ecarte Ave., Phoenix, AZ",2021-07-30,354100,363900,Offer Rejected - Price Too Low
"166 Throat Rd., Phoenix, AZ",2021-11-20,303700,309600,Offer Rejected - Price Too Low
"82 Tarns Ave., Atlanta, GA",2021-08-12,352900,353800,Offer Rejected - Price Too Low
"98 Alkoxyl St., Phoenix, AZ",2021-07-21,328300,335600,Offer Rejected - Price Too Low
"0 Tushies St., Las Vegas, NV",2021-10-06,328900,352800,Closed
"112 Vengeances Rd., Atlanta, GA",2021-12-01,300600,304200,Offer Rejected - Price Too Low
"64 Gynæcium Ave., Atlanta, GA",2021-09-28,306000,309300,Offer Rejected - Pending
"61 Centrex St., Phoenix, AZ",2021-11-12,376200,373600,Offer Rejected - Price Too Low
"77 Allowance Rd., Phoenix, AZ",2021-08-14,286900,290800,Offer Rejected - Price Too Low
"196 Currency-code St., Las Vegas, NV",2021-08-25,275000,301300,Closed
"156 Injudiciously St., Houston, TX",2021-07-31,300200,304700,Offer Rejected - Price Too Low
"179 Evildoing Ave., Las Vegas, NV",2021-10-15,245600,253800,Offer Rejected - Price Too Low
"115 Tautly Rd., Las Vegas, NV",2021-11-30,338500,329600,Offer Rejected - Pending
"32 Anagrammatizes Ave., Phoenix, AZ",2021-09-24,238600,231800,Offer Rejected - Price Too Low
"10 Jammily Rd., Phoenix, AZ",2021-10-25,278400,308200,Offer Rejected - Pending
"89 Electromyograph Ave., Phoenix, AZ",2021-07-30,256200,279100,Offer Rejected - Price Too Low
"131 Coriacea Rd., Las Vegas, NV",2021-11-28,286800,292100,Offer Rejected - Price Too Low
"18 Monocistronic Rd., Phoenix, AZ",2021-12-13,334700,353000,Offer Rejected - Price Too Low
"118 Unravel St., Las Vegas, NV",2021-08-04,329200,320900,Offer Rejected - Price Too Low
"98 Stercoration St., Houston, TX",2021-09-09,309500,311500,Offer Rejected - Price Too Low
"17 Umbles Ave., Las Vegas, NV",2021-08-07,314800,310700,Offer Rejected - Price Too Low
"40 Antiscripturism St., Phoenix, AZ",2021-10-18,263900,274100,Closed
"157 Cabernets St., Atlanta, GA",2021-11-05,255000,261900,Offer Rejected - Price Too Low
"112 Nonrealistic St., Phoenix, AZ",2021-09-08,304400,311600,Offer Rejected - Price Too Low
"7 Doctorfish St., Las Vegas, NV",2021-09-27,292300,285400,Offer Rejected - Price Too Low
"110 Cutenesses St., Phoenix, AZ",2021-08-15,300400,303600,Offer Rejected - Price Too Low
"62 Dressings St., Phoenix, AZ",2021-10-23,333800,352200,Closed
"190 Commercially St., Las Vegas, NV",2021-12-09,308900,306600,Offer Rejected - Price Too Low
"144 Raininess Ave., Atlanta, GA",2021-08-31,304600,329400,Offer Rejected - Price Too Low
"141 Fontal St., Phoenix, AZ",2021-08-26,331300,338100,Offer Rejected - Price Too Low
"35 Introspective St., Atlanta, GA",2021-07-27,320800,354800,Closed
"183 Akasha St., Atlanta, GA",2021-11-03,309400,319900,Offer Rejected - Price Too Low
"166 Destinate St., Atlanta, GA",2021-09-15,289900,321400,Closed
"3 Matinée St., Las Vegas, NV",2021-10-14,372300,362900,Offer Rejected - Price Too Low
"25 Solvating St., Phoenix, AZ",2021-12-05,219000,220300,Offer Rejected - Price Too Low
"43 Lineless Rd., Phoenix, AZ",2021-10-19,304800,329700,Offer Rejected - Price Too Low
"70 Ill-sorted Ave., Atlanta, GA",2021-08-26,281000,298400,Offer Rejected - Price Too Low
"170 Upsized St., Las Vegas, NV",2021-08-26,265500,277200,Offer Rejected - Price Too Low
"90 Refect St., Atlanta, GA",2021-09-05,352500,377000,Offer Rejected - Pending
"168 Nidwalden St., Phoenix, AZ",2021-09-08,313800,327700,Offer Rejected - Price Too Low
"46 Contraptions Rd., Atlanta, GA",2021-11-25,262900,267000,Offer Rejected - Price Too Low
"176 Wimberry Ave., Phoenix, AZ",2021-09-11,311300,320700,Offer Rejected - Price Too Low
"146 Disposals Rd., Houston, TX",2021-11-02,317500,330400,Closed
"64 Finger-painted Ave., Phoenix, AZ",2021-10-03,247800,256300,Offer Rejected - Price Too Low
"135 Vulgarization Rd., Phoenix, AZ",2021-10-03,342000,338500,Offer Rejected - Price Too Low
"99 DsRNAs Rd., Atlanta, GA",2021-11-16,249400,261700,Offer Rejected - Price Too Low
"54 Unbottomed Ave., Phoenix, AZ",2021-09-03,253400,257500,Offer Rejected - Price Too Low
"30 Ghettoised Rd., Las Vegas, NV",2021-10-13,300200,293400,Offer Rejected - Price Too Low
"162 Generously Ave., Atlanta, GA",2021-11-05,232400,250900,Offer Rejected - Price Too Low
"193 Thioglycollate Ave., Phoenix, AZ",2021-11-30,377200,388100,Offer Rejected - Price Too Low
"151 Butt-cheek St., Atlanta, GA",2021-10-22,244300,250200,Offer Rejected - Pending
"188 Remendable Rd., Phoenix, AZ",2021-10-25,264500,259800,Offer Rejected - Price Too Low
"78 Shoemaking St., Atlanta, GA",2021-11-11,351300,343600,Offer Rejected - Price Too Low
"139 Kiteboard Rd., Las Vegas, NV",2021-10-17,265900,269300,Offer Rejected - Price Too Low
"29 Goods-train St., Las Vegas, NV",2021-09-21,274400,277200,Offer Rejected - Price Too Low
"177 Gas-main St., Phoenix, AZ",2021-11-11,322800,344000,Offer Rejected - Pending
"115 Kashmiri St., Las Vegas, NV",2021-11-07,267600,267000,Offer Rejected - Price Too Low
"97 Tucker-in St., Phoenix, AZ",2021-12-08,304600,301200,Offer Rejected - Pending
"51 Circumforaneous St., Atlanta, GA",2021-10-28,380100,407700,Offer Rejected - Price Too Low
"89 Theologate Rd., Houston, TX",2021-09-26,349100,362400,Offer Rejected - Price Too Low
"73 Vaguely St., Houston, TX",2021-11-06,287100,297900,Offer Rejected - Price Too Low
"195 Foundational Ave., Phoenix, AZ",2021-11-25,287700,296600,Offer Rejected - Price Too Low
"114 Involve St., Las Vegas, NV",2021-08-10,258900,260400,Offer Rejected - Price Too Low
"111 Filesystem Rd., Atlanta, GA",2021-08-03,282400,296900,Closed
"10 Kakapo St., Houston, TX",2021-10-24,279400,292300,Closed
"172 Jemidars St., Phoenix, AZ",2021-11-19,304800,313300,Offer Rejected - Price Too Low
"152 Midchapter Rd., Phoenix, AZ",2021-11-25,312600,318000,Offer Rejected - Price Too Low
"119 Taboret St., Atlanta, GA",2021-11-25,238700,236700,Offer Rejected - Price Too Low
"184 Off-ramp Ave., Las Vegas, NV",2021-10-14,306200,313700,Offer Rejected - Price Too Low
"135 Ebullience St., Atlanta, GA",2021-08-01,298600,319600,Offer Rejected - Price Too Low
"56 Monosyllable Rd., Atlanta, GA",2021-11-29,316000,338000,Closed
"86 Mitch-board Rd., Atlanta, GA",2021-08-07,359400,383400,Offer Rejected - Price Too Low
"15 Well-tried Rd., Phoenix, AZ",2021-10-19,317200,315400,Offer Rejected - Price Too Low
"180 Two-edged St., Atlanta, GA",2021-09-26,291500,288300,Offer Rejected - Price Too Low
"132 Party-colored St., Las Vegas, NV",2021-10-13,329400,354800,Closed
"103 Collegia St., Atlanta, GA",2021-11-26,300400,314100,Offer Rejected - Price Too Low
"93 Imperfectible St., Phoenix, AZ",2021-09-10,265600,289100,Closed
"135 Closing Ave., Atlanta, GA",2021-08-27,293500,298900,Offer Rejected - Price Too Low
"192 Rayonism St., Las Vegas, NV",2021-09-17,244900,238300,Offer Rejected - Price Too Low
"153 Lycurgus St., Las Vegas, NV",2021-10-28,247900,251100,Offer Rejected - Pending
"37 Faith-healing St., Atlanta, GA",2021-10-24,244900,248400,Offer Rejected - Price Too Low
"177 Netty St., Phoenix, AZ",2021-08-01,296700,314100,Closed
"158 Privatissimum St., Atlanta, GA",2021-08-14,353500,383200,Offer Rejected - Pending
"91 She-goats St., Las Vegas, NV",2021-08-20,343100,365900,Offer Rejected - Price Too Low
"173 Trocha Ave., Phoenix, AZ",2021-10-27,312000,316000,Offer Rejected - Price Too Low
"145 Sortes St., Phoenix, AZ",2021-09-09,290700,311600,Offer Rejected - Pending
"129 Softphones St., Phoenix, AZ",2021-07-22,244200,251000,Offer Rejected - Price Too Low
"17 Pitiable Rd., Las Vegas, NV",2021-09-22,332500,350500,Offer Rejected - Pending
"196 Red-corpuscled St., Phoenix, AZ",2021-08-29,269300,273600,Offer Rejected - Pending
"42 Transposes St., Phoenix, AZ",2021-07-31,340500,340400,Offer Rejected - Pending
"144 Spatular St., Phoenix, AZ",2021-07-27,254700,260100,Offer Rejected - Price Too Low
"1 Tunic St., Atlanta, GA",2021-07-25,352200,347200,Offer Rejected - Price Too Low
"191 Martyr Ave., Atlanta, GA",2021-10-09,266500,260300,Offer Rejected - Price Too Low
"115 Dorsolumbar Ave., Phoenix, AZ",2021-11-21,304600,301900,Offer Rejected - Price Too Low
"106 Misadvises St., Phoenix, AZ",2021-08-01,300400,317100,Offer Rejected - Price Too Low
"197 Cuttle Rd., Phoenix, AZ",2021-11-23,237800,249300,Offer Rejected - Price Too Low
"69 Tram-wheel St., Las Vegas, NV",2021-08-12,316600,315800,Offer Rejected - Price Too Low
"2 Huelva St., Atlanta, GA",2021-09-10,260400,273700,Offer Rejected - Pending
"144 Felonies St., Houston, TX",2021-10-31,306700,324300,Offer Rejected - Price Too Low
"143 Staff St., Las Vegas, NV",2021-12-09,324400,332700,Closed
"135 Sterculias Ave., Las Vegas, NV",2021-09-18,258000,255500,Offer Rejected - Price Too Low
"170 Intermittence Rd., Atlanta, GA",2021-08-05,302700,329000,Closed
"34 Epigenome St., Phoenix, AZ",2021-09-09,295000,309400,Offer Rejected - Price Too Low
"158 Premeditative Ave., Atlanta, GA",2021-10-09,295400,289800,Offer Rejected - Pending
"20 Tenting St., Phoenix, AZ",2021-09-18,362600,384800,Closed
"29 Crabbers St., Phoenix, AZ",2021-07-18,236600,240300,Offer Rejected - Price Too Low
"184 Magickally St., Las Vegas, NV",2021-10-15,331800,341600,Offer Rejected - Price Too Low
"168 Swamplands St., Las Vegas, NV",2021-08-15,299900,302100,Offer Rejected - Price Too Low
"155 Dadrock Ave., Houston, TX",2021-09-12,305400,310000,Offer Rejected - Price Too Low
"12 Stereoisomeric St., Phoenix, AZ",2021-09-04,335000,356300,Offer Rejected - Price Too Low
"53 Gugglets Ave., Las Vegas, NV",2021-10-15,279200,280200,Offer Rejected - Pending
"2 Moric St., Phoenix, AZ",2021-09-28,266000,280600,Closed
"84 Minicities St., Houston, TX",2021-10-24,243900,243500,Offer Rejected - Price Too Low
"153 Implex Ave., Houston, TX",2021-11-12,253600,270100,Closed
"89 Permadeath St., Phoenix, AZ",2021-08-22,314800,315300,Offer Rejected - Price Too Low
"25 Judge-made St., Atlanta, GA",2021-08-12,254100,265600,Offer Rejected - Price Too Low
"23 Uniformed Rd., Phoenix, AZ",2021-10-22,238100,257300,Closed
"177 Emphasizing Rd., Phoenix, AZ",2021-09-17,226800,220200,Offer Rejected - Price Too Low
"120 Outriders Rd., Atlanta, GA",2021-11-12,254500,271100,Offer Rejected - Price Too Low
"69 Autoinducers St., Atlanta, GA",2021-08-27,310600,302400,Offer Rejected - Price Too Low
"129 Eliminators St., Las Vegas, NV",2021-11-19,307500,323000,Offer Rejected - Price Too Low
"23 Surtaxes St., Las Vegas, NV",2021-08-19,281100,283200,Offer Rejected - Price Too Low
